id,category,description,hsn_sac,hsn_sac_type,suggested_gst,keywords
75,Data ML,Data analytics development,998314,SAC,18,"data analytics,analytics development"
76,Data ML,Machine learning development,998314,SAC,18,"machine learning,ml development"
77,Data ML,AI solution development,998314,SAC,18,"artificial intelligence,ai development"
78,Data ML,Generative AI application development,998314,SAC,18,"generative ai,genai,llm application"
79,Data ML,Computer vision solution development,998314,SAC,18,"computer vision,image ai"
80,Data ML,Natural language processing solution development,998314,SAC,18,"nlp,natural language processing"
81,Data ML,ML model development,998314,SAC,18,"ml model,model development"
82,Data ML,ML model integration,998314,SAC,18,"model integration,ml integration"
83,Data ML,Data migration services,998314,SAC,18,"data migration,database migration"
84,Data ML,Data processing services,998319,SAC,18,"data processing,data processing service"
85,Cybersecurity,Cybersecurity consulting,998313,SAC,18,"cybersecurity,security consulting"
86,Cybersecurity,Security assessment,998313,SAC,18,"security assessment,security review"
87,Cybersecurity,Vulnerability assessment,998313,SAC,18,"vulnerability assessment,vulnerability scan"
88,Cybersecurity,Security architecture consulting,998313,SAC,18,"security architecture,security design"
89,Cybersecurity,Application security services,998313,SAC,18,"application security,appsec"
90,Cybersecurity,Security monitoring services,998316,SAC,18,"security monitoring,soc,monitoring"
91,Cybersecurity,Identity and access management implementation,998314,SAC,18,"iam,identity management,access management"
92,Cybersecurity,Security automation development,998314,SAC,18,"security automation,security tooling"
93,Support,Application maintenance and support,998313,SAC,18,"application support,software support,maintenance"
94,Support,Technical support services,998313,SAC,18,"technical support,it support"
95,Support,Software troubleshooting services,998313,SAC,18,"troubleshooting,software issue"
96,Support,Application upgrade support,998313,SAC,18,"application upgrade,upgrade support"
97,Support,IT helpdesk services,998313,SAC,18,"helpdesk,it helpdesk,service desk"
98,Hardware,Graphics processing unit / GPU,84733090,HSN,18,"gpu,graphics card,nvidia,amd,graphics processing"
99,Hardware,Camera / IP camera,85258900,HSN,18,"camera,ip camera,cctv,network camera"
100,Hardware,Microcontroller / electronic controller,85423100,HSN,18,"microcontroller,mcu,esp32,stm32"
